extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
2.25,11,65,8.83566,20.2806,14.9623
2.25,8,70,6.49569,14.9622,12.8396
2.25,10,86,7.79379,19.2615,13.0742
2.25,13,72,7.53406,23.4506,16.7512
2.25,11,70,7.96311,19.9643,15.7641
2.25,7,49,5.31267,12.293,7.55819
2.25,11,83,7.87925,19.1517,14.0924
2.25,13,63,7.94978,24.8565,17.2116
2.25,10,59,6.26758,16.9723,13.1713
2.25,12,50,7.48218,23.6618,15.623
2.25,7,45,6.39686,12.5235,9.67489
2.25,12,61,6.70479,22.6062,17.3654
2.25,10,69,7.25796,18.2857,12.8456
2.25,11,61,7.31821,20.3008,14.2872
2.25,8,37,6.11613,13.6211,9.41826
2.25,6,22,4.86504,11.2324,8.4579
2.25,15,71,8.20708,26.9808,21.5011
2.25,11,78,7.82823,19.7505,13.9826
2.25,11,40,7.24928,19.5388,13.8921
2.25,11,52,6.73269,20.4157,16.6789
2.25,10,82,9.75234,18.5471,14.1768
2.25,12,54,7.34525,21.7771,14.9705
2.25,13,94,8.0246,24.7669,17.9913
2.25,14,55,10.2148,26.2414,20.6155
2.25,11,84,5.92047,20.2979,15.4732
2.25,11,35,6.92312,19.2758,14.4282
2.25,9,48,5.91999,16.269,13.6139
2.25,8,77,7.61085,14.5102,10.8624
2.25,10,79,7.52545,17.2763,11.6482
2.25,9,46,6.10701,15.7546,11.6762
2.25,10,48,9.07339,18.8807,12.8893
2.25,11,53,7.56541,18.2585,14.4362
2.25,11,86,7.67309,18.7294,12.8487
2.25,10,40,6.76462,17.5276,12.1133
2.25,9,71,6.1138,16.7075,13.1643
2.25,8,47,6.68658,15.3277,11.9421
2.25,12,99,9.63791,23.897,15.6147
2.25,8,43,6.48556,14.5098,10.1466
2.25,10,38,7.76555,18.7252,14.1506
2.25,7,38,6.43708,13.0552,8.02547
2.25,10,37,6.21701,17.7959,13.6387
2.25,8,71,7.93297,15.1128,11.349
2.25,9,49,5.74936,17.1369,12.0158
2.25,10,131,7.86681,17.8867,13.2417
2.25,9,53,6.87552,16.2564,12.6781
2.25,8,48,7.00633,14.0564,10.6001
2.25,8,46,6.70466,13.5701,9.41951
2.25,9,58,7.06098,16.5128,12.6562
2.25,9,45,6.25023,17.0498,13.5524
2.25,13,94,7.45535,23.6218,17.4018
2.25,7,39,6.27548,10.5217,6.84805
2.25,8,74,5.52162,13.9487,10.816
2.25,10,61,7.54792,16.2342,11.6157
2.25,9,54,8.1417,17.639,13.4329
2.25,13,82,7.28454,24.8747,20.8942
2.25,9,37,6.1617,15.6524,11.4698
2.25,13,48,7.15913,26.6854,21.9127
2.25,12,105,9.70657,22.061,16.0372
2.25,10,25,5.85676,16.2383,12.0497
2.25,9,75,5.86053,15.6646,11.7399
2.25,12,82,9.58002,23.0462,15.8393
2.25,9,33,6.3938,16.197,11.7333
2.25,10,40,7.14611,17.1995,13.6701
2.25,11,72,9.30947,19.3279,14.9672
2.25,9,56,8.54075,16.7385,11.719
2.25,9,38,6.27272,14.0181,10.2127
2.25,7,31,6.41236,12.0223,8.60442
2.25,7,35,5.41147,11.9777,8.45568
2.25,9,31,6.74759,15.0724,11.3963
2.25,10,36,7.25185,17.8838,12.9039
2.25,12,93,7.64596,21.8562,16.258
2.25,11,61,9.99527,21.9913,15.649
2.25,11,104,7.46285,19.259,13.4688
2.25,10,44,7.50347,18.7441,15.1599
2.25,10,108,7.04611,16.7173,11.6161
2.25,8,29,6.82456,13.7482,10.7189
2.25,9,65,5.91039,15.7926,10.7974
2.25,9,83,5.41085,15.3923,12.2265
2.25,8,36,6.71371,14.711,11.0948
2.25,7,25,5.4507,11.3083,8.6707
2.25,11,69,8.41452,19.2946,13.606
2.25,8,30,6.52986,14.8471,10.5172
2.25,11,48,7.72376,20.8298,16.5383
2.25,9,61,6.12111,14.3123,11.9508
2.25,17,132,11.5825,30.0199,20.7884
2.25,9,40,6.5558,15.3719,13.9924
2.25,10,62,5.88123,16.5537,12.7691
2.25,8,54,5.80463,14.9473,10.7009
2.25,15,116,8.48771,28.6392,18.5197
2.25,9,34,6.71556,16.0403,11.1816
2.25,7,42,5.78409,12.327,10.2131
2.25,10,83,7.9974,17.3644,13.377
2.25,8,48,6.7106,14.1009,10.1297
2.25,17,74,11.73,31.0614,20.5264
2.25,11,63,6.99567,19.3665,13.9977
2.25,10,82,6.46444,18.3696,12.0081
2.25,10,87,6.71262,19.6295,13.7171
2.25,11,43,7.5422,19.0736,15.5049
2.25,11,66,6.578,18.4195,13.4218
2.25,11,66,7.65164,20.2139,15.6625
2.25,7,75,5.36099,11.8647,9.77231
2.25,8,41,5.51209,13.6497,10.9366
2.25,15,106,7.58824,28.8121,21.2457
2.25,11,119,7.93266,18.8277,13.8414
2.25,14,72,8.55712,24.0989,18.4441
2.25,12,94,9.73935,21.184,14.8999
2.25,14,55,8.71758,27.9265,20.6002
2.25,12,40,7.61415,20.5231,15.3234
2.25,7,41,6.17858,12.1307,8.26298
2.25,12,49,6.94451,21.2445,14.4759
2.25,10,69,7.44543,17.9343,14.331
2.25,10,79,8.31047,16.9413,12.8513
2.25,8,36,5.58635,12.8446,9.11707
2.25,9,124,7.16719,14.6409,12.0533
2.25,8,90,6.42864,14.9585,12.5655
2.25,7,59,6.13815,12.8878,9.92722
2.25,11,108,7.30189,20.2592,15.5671
2.25,13,52,8.74101,24.2865,18.6249
2.25,14,76,9.62828,26.069,16.4834
2.25,9,41,8.30061,17.1397,13.2152
2.25,11,55,10.0955,19.3667,13.3382
2.25,14,124,10.9746,25.3798,16.4876
2.25,12,58,7.49786,20.5812,15.1262
2.25,8,26,5.67163,13.1718,11.0331
2.25,13,70,9.612,24.5329,16.6296
2.25,11,33,7.36599,20.5327,12.5679
2.25,8,39,6.86657,15.453,12.3758
2.25,8,58,6.71482,15.3334,12.0528
2.25,10,59,7.34914,18.3442,13.5294
2.25,9,62,4.87465,16.203,11.0547
2.25,8,49,6.0791,14.1668,10.822
2.25,7,30,6.10323,12.4125,9.08104
2.25,13,74,8.71664,25.2119,18.6092
2.25,12,72,10.3504,22.4285,15.7967
2.25,11,39,9.20814,20.4213,14.9535
2.25,10,54,6.74069,17.7576,11.7981
2.25,9,38,8.42582,14.8897,10.6679
2.25,11,81,6.52568,19.6166,15.2235
2.25,9,37,7.58373,15.8462,13.2088
2.25,12,52,9.32523,21.2872,14.6973
2.25,11,64,6.61795,20.7952,13.3803
2.25,14,86,9.84485,26.9687,19.8448
2.25,11,70,8.34128,20.094,14.2044
2.25,13,135,8.17343,26.2255,20.2477
2.25,9,39,6.18391,15.0517,11.9272
2.25,11,79,8.45996,21.9447,16.0028
2.25,11,56,7.09422,18.3406,12.7686
2.25,11,92,8.886,20.629,16.7171
2.25,8,38,5.53292,13.9191,10.3541
2.25,10,70,6.80034,16.2557,11.9014
2.25,14,130,6.93509,26.4518,18.3552
2.25,10,82,6.1635,16.8167,14.2979
2.25,12,95,10.7016,23.5832,18.0249
2.25,12,94,9.26083,21.007,15.7307
2.25,11,65,7.30012,19.8774,12.8996
2.25,10,44,6.54414,18.1215,14.4895
2.25,7,33,6.40643,12.9387,9.95958
2.25,9,50,6.05741,16.2546,13.6817
2.25,15,119,8.43571,26.004,17.5095
2.25,10,56,6.98771,19.25,15.1217
2.25,11,63,8.42991,19.5959,13.9116
2.25,12,54,6.70496,22.8854,20.0783
2.25,9,57,7.79421,15.8484,12.5838
2.25,7,24,5.63293,11.3585,8.73548
2.25,14,61,7.86829,26.5676,19.6563
2.25,12,38,7.53005,22.0096,16.7726
2.25,8,45,7.05918,15.3495,11.839
2.25,11,52,7.44484,17.4787,12.6917
2.25,10,66,8.20899,18.7757,13.8944
2.25,8,48,6.48045,14.7308,10.5455
2.25,14,112,7.76418,26.4042,19.1291
2.25,10,27,7.02253,16.6883,10.1131
2.25,13,88,9.74532,25.3395,16.8641
2.25,14,69,11.7866,25.4268,15.4808
2.25,12,79,7.30414,21.9737,14.7406
2.25,7,42,6.37463,12.18,8.80997
2.25,10,69,7.74885,17.4319,11.9065
2.25,14,94,8.95805,26.4191,20.6079
2.25,11,48,7.2589,21.7603,16.0609
2.25,10,56,7.27763,17.483,11.3592
2.25,12,103,8.45286,21.5605,15.6397
2.25,9,64,8.03423,16.6129,12.6562
2.25,10,137,7.49847,18.5897,12.3412
2.25,9,59,6.34338,15.6468,10.697
2.25,14,117,7.29397,24.5674,17.4428
2.25,11,67,6.43812,20.0919,14.0516
2.25,11,53,6.8874,20.3496,12.1556
2.25,8,53,6.26887,14.8349,13.0708
2.25,9,78,8.68351,17.6483,13.4275
2.25,11,56,8.8131,16.9533,12.2938
2.25,12,69,10.1075,20.7734,14.486
2.25,10,42,7.93808,16.6245,12.2818
2.25,7,52,5.42241,13.2182,11.186
2.25,7,68,6.33146,12.301,7.76556
2.25,8,40,6.05575,13.0492,9.46713
2.25,11,54,7.97121,20.7059,14.5416
2.25,7,58,5.22027,12.4493,10.0513
2.25,12,74,8.77001,21.7842,16.2773
2.25,8,46,5.27198,11.4148,8.65339
2.25,11,47,9.18995,18.899,10.7813
2.25,13,41,7.87768,21.2924,12.3731
2.25,10,45,7.34319,17.9271,12.9211
2.25,11,91,7.95267,19.417,14.0434
2.25,11,51,6.96443,21.6852,16.028
2.25,15,136,8.49033,24.6537,17.5866
2.25,10,65,8.12901,18.1676,15.5572
2.25,8,48,5.73623,14.7884,10.1648
2.25,9,116,5.86749,15.915,12.809
2.25,10,71,7.23292,18.6445,13.1085
2.25,9,47,5.89548,14.5531,11.2389
2.25,8,46,6.24518,13.9984,9.92477
2.25,11,42,7.43427,18.9011,14.3466
2.25,15,97,12.241,26.6938,18.162
2.25,10,33,6.78829,18.1603,12.6366
2.25,7,40,5.22324,12.8729,10.6081
2.25,10,54,6.84804,19.1254,16.6018
2.25,7,44,5.15161,12.364,8.97005
2.25,13,77,8.00918,23.6263,14.4677
2.25,10,69,7.26788,18.0408,14.2287
2.25,9,49,7.85468,16.4203,12.3874
2.25,8,50,6.58361,14.7728,9.88435
2.25,12,158,6.91442,20.612,16.3558
2.25,15,105,14.414,28.6517,18.9666
2.25,7,27,6.23544,10.5874,8.78941
2.25,11,115,8.69868,20.1755,12.4677
2.25,8,85,5.62005,13.7471,9.81069
2.25,10,72,8.08042,17.9466,13.8711
2.25,9,51,6.322,17.0152,13.5513
2.25,12,47,6.9392,21.8714,16.5737
2.25,10,42,6.88024,16.6859,11.5727
2.25,13,101,8.31717,23.8832,17.0602
2.25,10,30,7.01942,16.9601,13.9926
2.25,11,63,6.51466,21.5525,16.9228
2.25,9,64,6.50954,14.4681,10.3679
2.25,17,117,13.5803,31.9373,22.3114
2.25,14,112,10.5692,27.8095,18.9117
2.25,13,67,8.93255,24.2772,14.8689
2.25,8,51,5.90636,14.5178,11.617
2.25,11,63,6.90699,21.6163,16.9666
2.25,9,48,6.95347,16.51,12.0565
2.25,10,53,6.74328,17.7836,12.134
2.25,9,133,6.15564,16.5462,13.5647
2.25,7,30,6.69261,12.9057,11.0323
2.25,8,62,6.74554,13.1758,10.5031
2.25,9,82,6.82058,14.6233,10.4236
2.25,9,94,6.22954,15.6393,13.5634
2.25,11,60,8.15196,19.2295,13.7152
2.25,13,46,8.19518,23.3269,19.3716
2.25,7,42,5.2336,12.4844,9.05058
2.25,10,37,6.4128,19.4038,14.4675
2.25,9,53,6.99336,16.0223,10.6736
2.25,8,52,6.2256,12.9478,10.21
2.25,10,73,6.4949,19.0105,14.0861
2.25,9,44,6.89277,15.8995,11.6405
2.25,10,45,6.8566,16.4485,11.8255
2.25,6,34,6.07026,10.4785,7.53995
2.25,9,37,5.53314,15.7198,12.8936
2.25,10,58,7.52071,17.8124,13.1717
2.25,10,69,6.86518,18.9292,14.2692
2.25,11,88,8.69924,21.7185,14.2809
2.25,10,72,6.24553,17.716,13.6091
2.25,7,29,5.93485,12.2204,9.27503
2.25,8,98,6.99134,15.1677,10.3137
2.25,11,133,7.01926,19.8022,12.2413
2.25,17,106,10.6338,31.8533,21.2132
2.25,10,54,6.23072,18.0833,13.0272
2.25,18,126,12.6198,32.4567,21.7634
2.25,8,42,6.02555,14.352,11.4882
2.25,9,35,6.44953,13.4431,9.45271
2.25,9,70,7.39135,15.9137,13.0139
2.25,11,55,8.39538,18.8526,13.7102
2.25,13,127,10.9414,22.2612,15.4059
2.25,9,61,8.67402,17.9946,11.7789
2.25,9,79,6.0807,15.4789,10.3869
2.25,7,36,6.0115,11.9521,10.1961
2.25,10,71,9.56958,19.3869,13.5661
2.25,12,109,8.75637,22.6119,15.301
2.25,8,44,7.06562,14.6152,9.89431
2.25,10,57,6.64989,18.0877,12.4886
2.25,13,72,7.7935,23.9152,17.7632
2.25,8,50,6.29709,15.1721,10.5442
2.25,11,106,8.36916,21.2188,16.741
2.25,8,52,6.16019,13.8573,10.6299
2.25,15,75,8.7694,26.6998,19.3435
2.25,13,70,8.06657,24.563,17.3246
2.25,11,55,7.38881,19.7173,16.9744
2.25,9,55,6.25252,16.721,14.0249
2.25,15,75,10.845,26.3532,18.6212
2.25,7,60,6.00445,12.6244,10.6279
2.25,6,37,6.35787,10.6712,7.44408
2.25,11,54,9.1201,18.259,13.8036
