extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
2.15,10,67,6.21214,18.6136,15.0941
2.15,10,99,10.1874,17.3563,13.299
2.15,7,41,6.13557,12.2884,9.81686
2.15,11,74,7.8503,18.2276,13.8634
2.15,16,72,9.64552,29.7232,22.6265
2.15,11,60,6.59023,19.6658,12.2662
2.15,14,100,8.34652,24.8106,17.6192
2.15,8,140,6.69953,13.9465,9.91478
2.15,9,122,6.02423,16.1449,11.7179
2.15,10,85,5.32708,17.313,13.6704
2.15,10,86,7.026,16.6894,12.5157
2.15,11,95,7.1745,18.5141,15.0896
2.15,21,123,10.586,38.5179,22.4914
2.15,10,77,6.60941,18.296,14.0192
2.15,10,39,8.19519,18.219,12.7316
2.15,11,47,6.95456,18.0218,13.5289
2.15,9,50,6.095,17.0005,13.2639
2.15,14,122,11.7368,25.1979,16.4548
2.15,7,29,5.738,10.8888,7.95943
2.15,13,67,9.29859,22.432,16.714
2.15,8,44,5.82166,13.6702,11.312
2.15,7,26,5.8568,12.3304,8.54278
2.15,7,30,5.38898,12.5804,10.9315
2.15,9,73,6.42425,15.2003,12.9013
2.15,11,85,6.50342,20.9973,13.4294
2.15,8,44,5.88637,13.777,10.459
2.15,11,98,6.39101,19.765,14.5358
2.15,7,43,6.72116,11.677,7.19667
2.15,11,42,5.96503,17.9697,15.9072
2.15,14,120,10.4397,25.7696,20.0835
2.15,12,99,7.93653,22.4636,13.7495
2.15,13,82,7.27713,23.3221,16.7533
2.15,8,127,6.8446,13.5615,8.58865
2.15,10,55,7.59141,18.9699,12.7236
2.15,12,83,8.20881,21.0897,15.8882
2.15,11,130,11.0259,19.5652,15.5281
2.15,10,93,6.91335,18.0595,12.9448
2.15,10,43,7.69296,17.68,12.9379
2.15,10,86,8.17443,18.7876,14.2173
2.15,10,122,8.56421,16.5697,11.7602
2.15,9,118,7.01398,16.0911,11.963
2.15,8,45,6.20967,13.1194,10.2687
2.15,16,90,9.37865,30.189,21.496
2.15,13,208,7.89021,23.0604,15.6563
2.15,10,64,6.03989,17.5696,12.1292
2.15,12,48,7.03599,19.0225,14.6777
2.15,16,147,11.1876,30.6044,22.444
2.15,8,66,5.3144,13.7882,11.9465
2.15,9,36,6.23366,16.83,12.3616
2.15,10,41,7.25226,17.3925,14.4049
2.15,15,183,8.03394,24.8143,18.1697
2.15,12,145,6.60592,22.0323,15.8273
2.15,11,96,9.30505,20.1417,13.9134
2.15,9,84,7.56533,15.1718,10.9676
2.15,8,64,7.19222,14.1122,10.101
2.15,18,147,12.1429,31.1244,19.1001
2.15,15,68,8.05017,25.1226,19.0669
2.15,10,65,7.26298,16.6507,13.6091
2.15,13,164,7.12005,24.1275,16.8973
2.15,8,29,6.89192,12.6823,9.05466
2.15,16,61,9.85868,28.6975,17.8093
2.15,12,96,7.17211,21.7652,15.8219
2.15,11,60,7.38206,18.52,12.4768
2.15,10,46,6.68875,17.654,12.9974
2.15,11,69,7.44107,17.011,11.8755
2.15,7,137,6.57644,12.2781,9.30937
2.15,8,34,5.66582,13.4406,10.1007
2.15,10,56,6.30458,17.0294,13.8796
2.15,13,95,10.4526,23.7977,17.6809
2.15,10,99,7.28591,17.4418,12.0685
2.15,12,50,8.77894,21.1324,15.8071
2.15,11,59,6.72727,17.8949,13.9778
2.15,10,66,5.21281,17.9538,12.2669
2.15,11,62,7.1086,18.8788,16.1523
2.15,9,118,6.44454,15.1384,12.2821
2.15,12,65,7.30345,21.1594,17.4726
2.15,8,57,6.07998,13.82,10.9554
2.15,10,102,7.0031,17.4532,12.9022
2.15,15,104,10.7672,26.4912,18.921
2.15,10,79,6.84145,16.7557,14.388
2.15,10,53,7.04794,16.3848,13.7572
2.15,8,97,6.5876,14.7186,10.3315
2.15,10,53,6.36109,17.4853,9.60881
2.15,12,109,9.10983,22.2982,13.596
2.15,11,190,8.19454,19.0328,14.7134
2.15,9,76,6.98012,15.2236,12.3111
2.15,8,47,6.47053,13.3672,10.8649
2.15,10,132,6.29943,17.4609,13.8923
2.15,10,80,6.23814,15.9227,12.9685
2.15,11,53,8.08611,19.0549,13.511
2.15,9,73,6.06737,15.6228,14.3158
2.15,12,74,8.74879,19.8703,13.3503
2.15,9,59,6.48709,15.9003,10.4528
2.15,11,120,7.67509,19.7539,15.4235
2.15,11,91,9.03156,18.3808,16.2745
2.15,10,81,6.90535,15.498,13.1331
2.15,10,38,7.50574,17.9458,13.5935
2.15,11,61,6.1716,19.6521,16.1644
2.15,10,80,6.59905,17.7301,13.4806
2.15,7,43,6.04245,11.7803,7.7428
2.15,10,118,7.72535,17.5185,11.8052
2.15,11,118,7.61603,19.6488,14.9343
2.15,9,34,7.70973,16.0832,12.7329
2.15,10,119,8.20185,18.5275,13.2488
2.15,9,43,5.89827,14.8157,12.4288
2.15,11,38,8.85416,18.968,14.9113
2.15,9,57,6.67325,13.5963,9.82458
2.15,9,177,7.04748,15.6328,12.5963
2.15,8,46,5.67808,13.1035,11.0289
2.15,11,126,8.81313,19.7992,14.5629
2.15,15,92,7.7721,25.957,17.935
2.15,10,100,7.2216,17.727,14.5713
2.15,18,121,9.84727,33.5471,24.7688
2.15,10,83,7.04749,16.1011,12.3328
2.15,13,71,8.02471,21.838,17.3289
2.15,8,68,5.50526,14.2204,9.81725
2.15,12,39,9.53634,20.9761,12.8927
2.15,10,49,7.15568,17.1061,13.1512
2.15,10,96,6.71264,18.0521,14.6667
2.15,8,68,6.16354,11.8993,7.91858
2.15,16,71,9.33061,27.282,18.4511
2.15,14,106,8.95244,24.4495,18.4598
2.15,9,99,6.85996,17.178,14.308
2.15,14,72,9.25058,24.9037,17.6652
2.15,9,48,8.50486,16.8937,12.8448
2.15,10,52,6.3734,18.8173,14.3088
2.15,9,45,6.03499,15.054,9.71026
2.15,10,112,6.25971,17.871,13.1327
2.15,9,94,6.76639,15.3626,11.0728
2.15,9,71,6.60331,14.7409,11.6348
2.15,12,104,8.06176,22.0928,16.3259
2.15,13,103,9.37802,22.5035,14.3966
2.15,12,160,7.46437,18.7547,14.1597
2.15,16,152,13.0351,27.6478,19.134
2.15,12,99,7.6329,21.0909,15.5448
2.15,8,53,5.55575,14.1647,10.8654
2.15,10,140,6.94342,19.1676,12.7014
2.15,10,53,7.34176,18.4439,13.0048
2.15,12,118,8.88906,22.2083,15.4595
2.15,16,69,9.98709,29.4289,19.9846
2.15,7,34,5.12206,11.5565,7.71229
2.15,10,75,7.11752,18.7388,11.5879
2.15,15,99,10.8362,22.8131,14.6241
2.15,14,75,8.51255,24.3078,17.0091
2.15,10,145,8.10983,17.4964,12.16
2.15,12,115,10.1605,19.5025,13.6504
2.15,13,114,8.50013,21.2668,13.7939
2.15,11,71,10.2797,20.266,15.2008
2.15,9,87,5.28856,15.1755,10.3724
2.15,10,161,6.96973,16.8918,14.0572
2.15,10,114,7.25098,17.3106,12.7354
2.15,16,91,11.0423,30.5944,20.9741
2.15,12,149,8.80454,21.1966,13.5217
2.15,8,85,5.97406,13.2109,9.96283
2.15,7,32,6.41119,10.8691,8.26549
2.15,13,55,11.1575,23.8982,16.8902
2.15,14,105,9.15434,25.8914,19.3932
2.15,9,162,5.98109,15.9133,13.4063
2.15,11,131,8.5976,18.0349,13.3026
2.15,16,151,7.87888,27.3427,19.56
2.15,8,55,7.22198,14.4803,11.3302
2.15,9,53,7.48555,14.7029,11.735
2.15,10,91,7.28644,19.1564,13.1637
2.15,9,67,7.0335,16.1408,13.7907
2.15,10,70,6.33354,17.525,12.4716
2.15,11,64,6.28183,18.0612,12.9134
2.15,18,176,11.1395,30.0131,19.7231
2.15,14,148,7.18293,23.5642,14.9136
2.15,11,108,7.05239,20.8109,14.7538
2.15,8,111,6.71288,13.7858,9.88466
2.15,12,47,7.39469,22.3573,16.4712
2.15,11,67,6.9258,21.3834,15.0719
2.15,20,168,13.7651,38.1826,24.6749
2.15,14,93,9.87276,25.3537,17.8922
2.15,9,55,7.18627,16.0128,12.469
2.15,16,112,11.6019,28.9735,16.4379
2.15,12,173,7.25949,21.8437,15.7956
2.15,11,79,8.96205,21.0133,15.4497
2.15,8,51,6.49874,14.4382,10.7314
2.15,10,67,6.42308,16.0847,12.4864
2.15,11,72,10.2547,20.1708,14.9635
2.15,8,83,6.44991,13.5839,11.1341
2.15,11,90,5.15407,19.2968,16.0179
2.15,8,72,6.92766,13.1652,8.55458
2.15,15,84,8.48998,25.3985,17.4178
2.15,9,66,6.93591,14.1859,10.7705
2.15,13,83,7.95867,23.8539,15.8769
2.15,14,111,8.0964,26.3544,18.4911
2.15,13,92,8.77725,21.3591,15.1446
2.15,13,73,8.76328,22.2124,15.8719
2.15,9,37,5.35893,14.648,9.94834
2.15,12,133,6.90095,22.3064,17.0287
2.15,16,129,9.10124,27.9134,17.8916
2.15,9,53,7.12566,16.0508,12.0575
2.15,9,149,8.6561,16.7801,12.221
2.15,14,47,9.80666,25.093,17.5326
2.15,12,115,6.97808,20.9366,13.6729
2.15,9,66,6.1943,15.1354,11.0488
2.15,11,80,7.15822,17.5935,12.8232
2.15,10,49,5.37582,18.5928,13.5515
2.15,9,60,6.43675,14.1194,9.48892
2.15,9,38,7.86956,16.9957,12.8974
2.15,11,159,8.26831,17.4186,13.2919
2.15,11,99,8.74995,18.7346,13.3942
2.15,7,34,5.86299,12.4055,9.26462
2.15,12,71,10.0499,21.1946,14.9375
2.15,10,162,8.40067,16.6895,11.6438
2.15,11,50,7.93833,19.7654,14.7521
2.15,10,56,7.22828,17.2042,12.2963
2.15,8,57,5.94132,13.2477,11.74
2.15,12,61,10.1975,21.746,12.6071
2.15,10,93,6.84205,16.5623,12.3326
2.15,13,51,9.47452,24.2448,15.2224
2.15,13,59,6.22831,20.6305,15.4132
2.15,11,86,7.93348,21.0477,17.6797
2.15,9,44,6.64425,15.4155,12.1174
2.15,11,84,8.73024,19.1864,15.1935
2.15,13,72,6.96048,20.5433,14.4875
2.15,9,74,5.75999,13.4399,11.7398
2.15,11,70,7.02201,20.7566,14.7383
2.15,12,194,9.08357,19.7945,13.5142
2.15,15,77,7.10735,25.4682,20.1138
2.15,7,49,5.53444,12.6788,8.79172
2.15,11,51,6.90342,18.0886,13.1122
2.15,12,69,7.2731,20.5125,11.5136
2.15,19,132,11.1376,31.5732,22.0477
2.15,8,34,7.15092,13.5858,11.337
2.15,12,107,7.07821,20.202,15.5705
2.15,9,56,8.52242,16.2719,11.217
2.15,7,173,6.34057,11.8916,9.55659
2.15,9,61,6.72623,15.5541,11.7775
2.15,12,59,6.35139,20.381,15.7919
2.15,11,47,8.01021,19.2106,16.7213
2.15,8,58,6.42593,14.1648,11.1711
2.15,14,92,8.46133,23.7003,15.4826
2.15,14,73,6.9692,25.6128,18.8901
2.15,17,83,9.80824,27.9607,19.6054
2.15,10,92,6.37146,16.0838,11.4171
2.15,10,62,6.99766,19.1028,14.4343
2.15,13,100,7.55719,22.3657,13.2057
2.15,9,118,7.77772,16.9578,11.7188
2.15,15,62,6.66534,28.4471,20.4458
2.15,9,89,5.8585,15.5321,12.161
2.15,8,154,6.45391,14.4898,11.7548
2.15,11,122,7.38161,18.7846,13.9124
2.15,9,57,5.37713,15.8319,12.1452
2.15,11,126,8.42433,18.8855,13.0337
2.15,8,181,6.51029,13.0628,11.411
2.15,14,104,8.17998,24.2037,19.0878
2.15,9,61,7.23887,15.149,10.6838
2.15,13,103,9.72797,22.4884,14.7017
2.15,8,161,6.02863,14.691,11.6219
2.15,10,100,6.91812,18.5108,13.9514
2.15,16,108,11.0676,28.7982,19.1753
2.15,12,86,8.2673,20.2501,14.4582
2.15,11,138,8.38093,18.7093,12.6216
2.15,10,64,7.60631,18.0751,13.5818
