extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
0.95,17,95,7.24763,15.0624,10.2653
0.95,18,170,9.49374,15.8844,11.7846
0.95,15,55,6.50464,13.2702,9.48357
0.95,19,78,7.87885,16.5797,11.5546
0.95,14,43,7.1783,12.0579,8.03779
0.95,13,48,7.79083,11.3028,8.66117
0.95,18,114,9.1895,15.959,11.5485
0.95,15,46,6.5251,13.1618,9.64806
0.95,15,41,8.91916,13.1841,8.99547
0.95,21,107,10.4166,18.9165,13.486
0.95,13,45,6.48814,10.7995,8.04806
0.95,17,52,8.56031,14.4636,9.8667
0.95,15,60,8.50161,12.5164,9.6862
0.95,19,61,8.7283,16.2822,10.6352
0.95,13,75,7.35032,11.3768,7.63632
0.95,14,40,6.96218,12.3171,8.38848
0.95,14,64,7.73518,11.4646,8.65592
0.95,16,78,6.67151,13.9572,9.72329
0.95,23,77,9.64081,19.9793,12.7631
0.95,14,44,8.08206,11.7715,8.12567
0.95,16,47,7.51313,13.7021,8.99028
0.95,14,49,7.8223,12.1809,8.79026
0.95,15,34,7.81273,12.6024,8.45417
0.95,19,216,8.11548,16.2222,11.2752
0.95,15,49,8.9433,13.1623,9.54601
0.95,17,42,9.0422,14.5348,10.9388
0.95,14,47,7.60012,12.0264,8.71096
0.95,17,58,7.64732,14.3718,9.67966
0.95,15,36,7.06986,12.4789,9.50343
0.95,17,48,7.55927,14.5135,9.86801
0.95,12,27,7.19806,10.4264,7.36908
0.95,16,38,7.19734,13.9723,8.9607
0.95,16,51,8.37352,13.9077,10.0885
0.95,15,44,9.01155,13.1234,8.90556
0.95,12,26,7.44012,10.3394,6.8904
0.95,14,32,7.39863,11.6369,8.29826
0.95,12,22,6.51382,9.98,6.53914
0.95,20,67,10.0662,18.0164,12.9597
0.95,14,41,7.12606,12.0428,9.22516
0.95,14,45,7.54378,11.5571,7.58793
0.95,13,29,7.55277,11.2267,7.87091
0.95,16,59,8.0686,13.4044,10.7947
0.95,13,42,7.95917,10.7356,7.19371
0.95,16,53,9.50432,13.9823,10.7189
0.95,14,33,7.02201,11.8233,8.03543
0.95,14,54,7.67718,11.5445,7.6363
0.95,12,20,6.77885,9.6061,6.21536
0.95,14,36,7.68536,12.0267,7.98436
0.95,14,43,7.68163,11.5252,8.11134
0.95,19,87,7.71969,16.7076,12.0825
0.95,15,58,8.28008,13.0496,9.64145
0.95,19,58,7.90498,16.2001,10.3172
0.95,16,56,8.02765,14.2011,11.586
0.95,15,35,7.82473,12.5351,8.55416
0.95,16,115,8.40847,14.2101,11.3002
0.95,15,109,9.74261,12.8367,8.64771
0.95,13,79,7.27546,10.9058,7.37566
0.95,15,70,7.4753,12.515,9.00362
0.95,17,61,8.60902,14.8608,12.1483
0.95,19,180,9.01396,16.3369,12.4886
0.95,14,45,7.53336,12.0871,8.34993
0.95,16,63,9.94042,13.4843,9.33773
0.95,16,54,5.90535,13.7053,10.1099
0.95,18,56,8.20798,15.4975,11.8709
0.95,20,163,9.30697,17.5168,12.553
0.95,13,32,7.86802,11.2373,7.59357
0.95,14,151,7.88324,12.2678,9.78133
0.95,17,115,8.97954,15.0813,11.5586
0.95,20,74,9.47485,17.909,12.376
0.95,14,117,7.95952,11.5568,9.12209
0.95,13,30,6.98595,11.0725,8.39915
0.95,20,97,8.54921,17.6597,11.5579
0.95,14,49,7.68308,12.3039,8.95315
0.95,14,45,7.56436,12.1526,8.66332
0.95,13,44,6.37379,11.18,8.39044
0.95,14,55,7.69515,12.0567,8.17269
0.95,14,126,7.18599,12.1535,8.37716
0.95,14,29,7.181,11.4207,8.06972
0.95,14,53,6.3058,11.4488,8.21488
0.95,21,76,9.18833,18.9099,13.4958
0.95,16,55,7.33988,13.5987,9.12711
0.95,19,189,10.8623,16.785,11.8756
0.95,24,60,9.53528,21.6472,13.6804
0.95,15,123,7.97155,13.0339,10.6075
0.95,21,89,9.44804,18.1601,12.3564
0.95,17,118,8.11093,14.5034,10.3465
0.95,17,39,7.56343,14.8083,9.07736
0.95,13,44,7.48829,11.245,7.8659
0.95,15,29,7.51715,12.8201,8.65121
0.95,19,159,8.50888,16.733,9.70255
0.95,15,43,7.50958,12.6197,8.84408
0.95,16,49,7.65077,13.5939,9.93782
0.95,17,68,7.48495,14.4196,9.3953
0.95,16,66,7.93384,13.6409,11.0202
0.95,16,52,7.84605,14.0272,9.77567
0.95,24,147,9.75966,21.2529,16.3841
0.95,19,96,10.3603,16.7513,11.8264
0.95,16,73,7.21227,13.8844,9.55219
0.95,15,72,9.29502,13.189,9.40121
0.95,15,42,7.60194,12.5696,8.73908
0.95,17,73,6.87831,15.1849,10.8985
0.95,16,48,7.35879,13.3238,9.55926
0.95,16,71,8.50195,13.8124,9.63157
0.95,18,122,9.15443,15.7567,12.0483
0.95,23,198,12.889,19.9531,14.4552
0.95,18,57,8.8329,16.1431,11.7738
0.95,17,157,6.03869,14.3375,10.1268
0.95,16,53,7.53857,13.555,8.61554
0.95,21,85,8.03236,18.6132,14.1542
0.95,19,114,8.76059,16.3039,10.8146
0.95,15,63,6.89751,12.6665,8.6563
0.95,20,74,9.07748,17.9757,12.1453
0.95,13,41,7.30511,10.7908,7.1789
0.95,14,34,7.6424,11.6646,8.31914
0.95,13,41,7.31068,11.3716,8.0822
0.95,20,93,9.54025,17.9593,13.1901
0.95,17,77,7.9975,14.6559,10.8719
0.95,18,75,7.69229,15.247,10.4443
0.95,17,55,7.84132,15.0374,9.47047
0.95,14,28,6.98027,11.6581,9.08256
0.95,15,87,6.47757,13.1065,10.0128
0.95,20,264,7.91955,17.6632,11.6635
0.95,19,82,8.54815,16.6875,11.6041
0.95,14,38,7.75084,11.9949,8.67243
0.95,14,68,6.51067,11.7184,8.13499
0.95,18,92,9.43184,15.3661,10.9908
0.95,13,32,7.10452,10.7283,7.40674
0.95,20,106,8.76567,17.8459,13.2623
